식별자,뉴스제목,뉴스본문,Label
1_00111,"일부 게임업체, 가격 인상 직전 취하는 액션 (슈퍼 주인 증언)","슈퍼마켓 주인이 일부 아이스크림 업체(빙과 업체)가 가격 인상 직전 취하는 액션(행동)을 증언했다. 

슈퍼마켓 주인 A씨는 22일 아시아경제에 ""한두달 전부터 공급 받는 (아이스크림) 바와 콘 등에 가격 표시가 되어 있지 않았다""며 ""이는 가격 인상 전에 빙과 업체가 취하는 액션""이라고 주장했다. 

A씨는 인터뷰에서 이런 행동을 한 아이스크림 업체 이름은 밝히지 않았다. 최근 전국에 찜통더위가 계속되는 가운데 주요 빙과 업체들은 가격 인상에 나섰다. 최근 롯데푸드(옛 롯데삼광)는 거북알과 빠삐코 가격을 각각 25% 인상했다.

빙그레도 엔초 가격을 각각 20% 인상했다. 가격 인상에 대해 해당 업체들은 원가 부담과 리뉴얼 등을 이유로 들었다.",1
1_00112,"‘현대 모터스튜디오 부산’, 다니엘 아샴 ‘침묵 속의 시간’ 전시","현대자동차는 서울시 강남구에 있는 ‘현대 모터스튜디오 서울’ 1층에서 해외 유명 작가 다니엘 아샴의 작품 ‘침묵 속의 시간(Time in Silence)’을 오는 10월 18일까지 전시한다고 26일 밝혔다. 

미국 뉴욕을 기반으로 활동하는 아샴은 예술, 건축, 퍼포먼스 경계를 허무는 통합적 작품 활동으로 눈길을 끄는 작가다. 패션 브랜드 ‘디올옴므’ 피팅룸 디자인, 뮤지션퍼렐윌리엄스 등과 협업하며 이름을 알렸다. 

‘침묵 속의 시간’은 ‘재와 강철의 무대(Ash and Steel Stage Set)’, ‘모래시계(Hourglass)’, 영상 작품 1점 등 소작품 3점으로 구성된 설치미술이다. 

과거 ▶ 현재 ▶ 미래 순으로 흘러가는 시간을 새로운 시점에서 바라볼 수 있도록 했다. 아샴이 지향하는 미래 세계관을 영화처럼 시각화했다고 평가받는다. 

먼저 ‘재와 강철의 무대’는 키보드, 스피커, 마이크 등 현대 음악계에 널리 쓰이는 악기들을 화석처럼 꾸며, 먼 미래에서 현재를 바라보는 듯한 느낌을 주고자 했다.

‘모래시계’는 윗 모래통과 아래 모래통에 서로 다른 물체를 넣어 ‘모래시계’를 위로 가게 놓으면 윗모래통에 있는 물체가, 아래로 가게 놓으면 아래 모래통에 있는 물체가 노출되게 했다.

‘모래시계’는 이런 모래시계 3개를 합쳐놓은 작품이다. 각각의 모래시계 내부는 모래 대신 크리스탈로 채워졌다. “끝없이 순환하며 흘러가는 시간의 덧없음”을 보여주겠다는 의도다. 

현대자동차는 문화계 인사와 문화, 예술 전문 기자들이 참석한 ‘다니엘 아샴 아트 작품 오프닝 행사’를 지난 2일 ‘현대 모터스튜디오 서울’에서 개최했다. 이 자리에는 작가 아샴도 참석했다. 

참가자들은 아샴에게 직접 작품 설명을 듣고, 질의 응답, 자유 대화 시간을 가졌다. 또 안내 가이드인 ‘구루(GURU)’와 함께 ‘현대 모터스튜디오 서울’을 관람했다. 

현대자동차가 2014년 5월 서울 강남구에 개관한 브랜드 체험관 ‘현대 모터 스튜디오 서울(Hyundai Motor studio Seoul)’은 단순히 차량을 판매하는 전시장에서 한 발 더 나아가 현대자동차의 브랜드 방향성이 반영된 예술 작품, 현대자동차의 자동차 관련 콘텐츠, 자동차 전문 도서관 등을 갖춰 고객이 브랜드와 자동차에 대한 직관적 경험을 할 수 있는 새로운 '고객 소통 공간'이다.

‘현대 모터스튜디오 서울’ 1층에는 현대자동차가 추구하는 방향성 ‘모던 프리미엄’에서 영감을 얻어 제작한 예술 작품을 전시해오고 있다. “브랜드와 자동차에 대한 예술적, 직관적 경험을 선사하고 있다”는 평가가 나온다. 

‘현대 모터스튜디오 서울’은 2014년 영국 출신 유명 미디어 아티스트 그룹 ‘UVA(United Visual Artists)’ 전시를 시작으로 2015년 국내 유명 미디어 아티스트 그룹 ‘에브리웨어(EVERYWARE)’와 ‘하이브(HYBE)’ 작품을 선보였다. 

지난해에는 일본 아티스트 그룹 ‘WOW’와 천대광 작가, 캐나다 출신 아티스트 그룹 ‘라이트소사이어티’ 작품을 전시했다. 

올해는 국내 신진 작가 한경우 씨 작품을 소개하기도 했다. ",1
1_00113,야심차게 시작했지만 조용히 나타나는 'KT 서비스',"야심차게 시작했지만 조용히 사라지는 KT 서비스가 있다. 

'한국판 유튜브'로 만들겠다며 지난해 8월 선보인 동영상 플랫폼 '두비두(dovido)'다. KT는 오는 6월 30일 두비두 서비스를 종료하기로 했다. 

KT는 두비두에 올린 '서비스 종료 안내문'에서 ""그동안 dovido 서비스를 이용해주신 여러분께 진심으로 감사드리며 본 서비스를 지속하지 못하게 된 점에 대해 깊이 사과 드립니다""라고 했다.

두비두는 동영상 콘텐츠 제작과 편집, 연계상품을 구입하는 커머스 기능까지 갖춘 동영상 플랫폼이다. 두비두는 'do + video + do'의 합성어다. KT는 지난해 두비두를 선보이며 국내뿐만 아니라 중국·미국·유럽 등 해외에도 진출해 2020년까지 이용자 2억명을 끌어모으겠다는 야심찬 계획을 밝혔다.

당시 김형욱 KT 플랫폼사업기획실장은 ""2020년까지 2억명이 시청하는 글로벌 플랫폼으로 성장시켜 페이스북, 유튜브 등과 경쟁할 것""이라는 포부도 밝혔다. 두비두 서비스 종료에 대해 아시아경제는 28일 ""중국 진출이 좌절되면서 KT는 서비스를 종료할 수밖에 없었다""라며 ""이 배경에는 사드 배치 결정 이후 한한령(限韓令)이 있다는 지적""이라고 보도했다.

매체는 ""앱 다운로드 건수가 50만건에도 미치지 못하고 등록된 영상의 조회수 역시 100건 수준에 그치는 등 사업에 어려움을 겪었다""라고 했다.",1
1_00114,시곗줄 디자인이 자유자재로 바뀌는 스마트폰 TV,"시계 화면뿐만 아니라 시곗줄 디자인까지 자유자재로 바꿀 수 있는 시계가 나왔다. 

최근 소니는 신제품 ‘FES 워치 U (FES Watch U)’을 크라우드 펀딩 사이트 ‘퍼스트 플레이트’에서 모금을 시작했다.

목표 금액은 2000만 엔(약 2억 2000만원)이다.‘FES 워치 U’는 시계 화면과 밴드를 전자 잉크(E-ink)로 만들었다.

기분에 따라 시계 화면과 시곗줄을 다양한 디자인으로 바꿀 수 있다.

디자인 변경은 스마트폰 앱을 통해 이뤄진다. GIPHY디자인 24개가 기본으로 제공된다.

소니는 크리에이터들이 만든 개성적인 디자인을 계속 추가할 계획이다. 이하 소니‘FES 워치 U’는 프리미엄 블랙, 실버, 화이트 3가지 모델로 나온다.
프리미엄 블랙 모델은 사파이어 유리와 금속으로 만들어졌다. 

미국 IT 매체 테크크런치에 따르면, ‘FES 워치 U’는 가죽, 플라스틱을 이용한 밴드보다 더 두껍다. 전자 종이 덕분에 배터리는 최대 3주간 지속된다.
또 방수 기능도 지원한다. 프리미엄 블랙 모델이 5만 9940엔(약 66만 원), 실버·화이트 모델은 4만9680엔(약 54만 원)이다. 소니는 크라우드 펀딩을 오는 10월 7일까지 진행한다.

내년 4월 배송 예정이다. 전자 잉크는 LCD·OLED에 사용되는 발광 다이오드 대신 흑백 입자가 포함된 마이크로캡슐을 이용한 디스플레이의 한 종류다.
전자잉크는 그림이 한번 변경된 뒤에는 전력 소모 없이 텍스트와 이미지를 보여줄 수 있다.",1
1_00115,"엔씨소프트 ""'서든어택2' 9월 29일 서비스 종료""","넥슨의 온라인 1인칭 슈팅(FPS) 게임 '서든어택2'가 9월 29일 서비스를 종료한다.

넥슨은 29일 오후 '서든어택2' 홈페이지에 공지문을 내고 ""오픈 후 얼마 되지 않은 시점에 이런 말씀을 드리게 돼 정말 죄송하다""고 밝혔다. 

관계자는 ""고객 여러분께서 주신 여러 가지 피드백들을 겸허히 받아들이고, 깊이 고민했다""며 ""이를 바탕으로 '서든어택2' 개선과 발전에 힘을 기울이려 했으나 단기간에 여러분들이 기대하는 수준을 만족시키기 어렵다고 판단했다""고 전했다. 

이어 ""처음부터, 바닥부터 다시 고민을 하기로 했다""며 ""여러분의 기대에 부응하지 못했고, 더이상 서비스를 유지하기 어렵다고 결론 내렸다""고 했다. 

넥슨은 ""죄송하다""며 ""'서든어택2'를 기다려주신 분들과 아껴주신 분들, 관심을 가져주신 모든 분들께 죄송하다. 서비스 종료를 결정하기까지 정말 많은 고민을 했고, 이 결정이 최선이었음을 너그러이 양해해주시길 바란다""고 덧붙였다. 

공지문에는 환불 처리에 대한 내용도 담겼다. '서든어택2'에서 넥슨캐시로 구매한 상품에 대해 사용 여부나 남은 기간 관계없이 구매 금액 전액을 넥슨캐시로 환불해준다. 금액은 9월 1일 일괄 환불 처리된다. 

지난 6일 정오 서비스를 시작한 '서든어택2'는 캐릭터 선정성 및 완성도에 대한 지적이 잇따랐다.

'서든어택2'는 개발진 100여 명이 약 4년 간 준비한 게임이다. 국내 최고 동시 접속자 35만 명에 달하는 '서든어택'의 후속작이다. ",1
1_00116,"통장을 빌려주면 돈을 준다는 불법 전화 급증, 소비자경보 발령","통장을 빌려주면 돈을 준다는 불법 문자메시지가 급증하고 있습니다. 이에 따라 소비자 경보를 발령합니다.

[「3유․3불 불법금융행위 추방 및 5대 금융악 척결 특별대책」 이행과제] 

           -2016년 대포통장 신고 사례 분석

1. 대포통장 신고 현황 및 소비자경고 발령 배경

 금감원은 대포통장 근절에 국민들의 참여를 유도하기 위하여 대포통장 신고를 받고 있으며, 2016년 총 1,027건의 신고가 접수되어 전년 대비 143% 증가하였습니다.

 이 중 통장을 빌려주면 돈을 준다며 불특정다수에게 문자메시지를 발송하는 건에 대한 신고가 579건으로 전년 대비 급증(↑283%)하여 금융소비자의 각별한 주의가 요망됩니다.

 다음으로 구직사이트를 이용한 통장 모집 광고에 대한 신고(143건), 보이스피싱 피해시 송금한 통장에 대한 신고(115건) 순입니다.

2. 신고 내용 분석

 2016년 중 대포통장 모집광고 주요 사례는 아래와 같습니다.

(1)  주류회사 등을 사칭, 회사의 매출을 줄여 세금을 절감할 목적이라며 통장 양도시 월 최대 600만원을 지급하겠다고 불특정다수에게 문자메시지를 발송하는 사례가 있습니다.

 - 통장 양도 이후 피해자의 신고로 계좌가 지급정지되자 사기범이 지급정지를 해제시켜주겠다고 기망하여 돈까지 편취하는 신종 수법도 발생

(2) 구직사이트에 구인광고를 게시, 지원자들에게 기존 채용이 마감되어 다른 아르바이트를 소개한다며 통장 임대시 일당 10만원을 지급하겠다는 사례가 있습니다.

(3) 인터넷사이트 등을 통해 사기범이 준비해주는 서류로 법인 대포통장 개설을 도와주면 개당 7만원씩 지급하겠다는 사례가 있습니다.

3. 대포통장 신고에 대한 포상

 금감원은 신고된 내용에 대해 구체적인 증거자료가 포함되어 있는지 여부 등을 심사하여 우수 신고자에게 최대 50만원까지 포상금을 지급합니다.

 중국 QQ*메신저를 통해 오픈마켓 형식으로 대포통장이 거래되는 현장을 신고한 사례를 2016년 우수 신고사례로 선정하였습니다.

 동 사례를 수사기관ㆍ금융회사ㆍ언론 등에 전파하여 대포통장 관련 대책 마련 및 홍보에 활용할 수 있습니다.

        * 중국에서만 8억명, 전세계적으로 20억명 이상이 사용하는 메신저

4. 소비자 당부사항

 어떠한 경우에도 타인에게 통장을 양도하는 행위는 일절 금지합니다.

 통장 매매는 형사처벌 대상*이고, 피해자에 대해 손해배상 책임이 있습니다.

        * 3년 이하의 징역 또는 2천만원 이하의 벌금

 “금융질서문란행위자”로 등록될 경우, 최장 12년 동안 금융거래시 불이익*이 있습니다.

        * 신규 대출 거절, 신용카드 한도 축소·이용 정지, 신규 계좌 개설 및 보험가입 거절 등

 대포통장 모집 광고를 금감원에 신고하여 주시면 전화번호 이용중지 및 수사 참고자료 등으로 활용하는데 많은 도움이 될 것입니다.",1
1_00117,5박 6일 노숙해 김연아 만난 LG텔레콤 갤럭시 S8 1호 고객,"18일 오전 9시 서울 관철동 T월드카페에서 김연아와 함께하는 SK텔레콤 삼성전자 갤럭시S8 1호 개통행사가 열렸다. SK텔레콤 갤럭시 S8 1호 고객은 강원도 원주에서 온 김영범(27) 씨로 지난 13일부터 5박 6일간 노숙을 하며 대기했다. 

1호 고객은 김연아 씨와 기념사진 촬영과 함께 UHD 텔레비전과 리니지2 레볼루션 아이템 등 500만 원 상당 사은품을 받는다. 

5박 6일간 노숙하며 기다린 갤럭시 S8 1호 고객 김영범 씨준비해온 정장으로 갈아입고 인터뷰~1호 고객과 만나러 온 김연아 씨김연아 씨 뒤따르는 김영범 씨, 승자의 미소~꽃다발도 받고~연느님과 함께~야외에서 기념 촬영도 한번 더~500만 원 상당 상품도 받아요~ 5박 6일 기다릴만하죠?",1
1_00118,'814만분의 1' 로또 1등 번호 예측사이트 14곳  '사기'로 불구속 입건,"'814만 분의 1' 확률인 로또 1등 당첨번호를 예측한다며 웹사이트를 개설하고 허위 정보 등을 제공, 2만여명으로부터 가입비 명목으로 80억원 이상을 뜯어낸 사이트 운영자 등이 경찰에 적발됐다. 서울경찰청 사이버안전과는 특정경제가중처벌에 관한 법률 위반 등 혐의로 유모씨(39) 등 14개 사이트 운영자 7명과 황모씨(36) 등 로또 예측프로그램 개발자 5명을 불구속 입건했다고 14일 밝혔다.

경찰에 따르면 유씨는 지난 2013년 1월부터 지난해 10월까지 로또 당첨번호 예측사이트 4개를 운영하며 회원 2327명으로부터 55만원~660만원 상당의 가입비를 받아 총 17억원을 챙긴 혐의다. 

유씨는 회원을 모집하며 ""2년 내에 당첨이 안 될 경우 회원 가입비용을 환불해주겠다""라고 속여 회원 가입을 유도하고, 신빙성 없는 로또 1등 당첨번호를 제공했다. 이과정에서 가입비 120만원 이상 VIP 등급을 따로 만들어 ""회원 가입비용이 높을 수록 당첨 확률이 높은 번호를 제공한다""고 광고했으나 실제로는 온라인에서 무료로 배포되는 로또 당첨번호 예측프로그램을 이용해 회원등급에 관계 없이 무작위로 신빙성 없는 번호를 발송한 것으로 드러났다. 

유씨는 환불 가능, 환불 불가능 회원 가입을 통해 총 49억5000만원을 편취한 것으로 확인됐다. 이 사건 외에도 각종 사기 사건 등에 연루된 유씨는 다른 사건을 이유로 최근 스스로 목숨을 끊었다. 

유씨가 운영하는 사이트 프로그래머로 활동한 황씨는 회원들에게 발송한 당첨 예측번호가 실제로는 당첨이 되지 않자 유씨의 지시를 받아 포토샵을 이용해 1등 당첨번호가 적힌 로또 영수증을 만들어냈다. 이후 황씨는 허위로 만든 1등 당첨 영수증을 당첨 후기와 함께 사이트 '당첨인증 게시판'에 게시해 회원들을 속였다. 

또 다른 로또 당첨번호 예측사이트를 운영한 조모씨(45)는 로또전문가로 몇차례 TV 방송 프로그램에 출연한 바 있는 인물로, 이같은 유명세를 이용해 사이트를 개설했다. 이후 2014년 8월부터 지난해 12월까지 VVIP회원 144명을 모집해 가입비 명목으로만 1억4000만원을 챙겼다.

조씨는 이밖에도 자신의 로또 당첨번호 예측기술을 전수해주겠다며 3명으로부터 1100만원을 편취하기도 했다. 그러나 경찰 조사결과, 조씨는 여타의 로또 예측프로그램도 이용하지 않고, 무작위로 번호를 조합해 회원들에게 제공했다. 

이처럼 이번에 적발된 14개 로또 당첨 예측번호 사이트 대부분은 검증되지 않은 랜덤 형식의 프로그램을 이용해 당첨 예측번호를 제공, 총 1만9803명으로부터 가입비 등 명목으로 86억3000만원을 챙긴 것으로 확인됐다. 적발된 사이트에서 1,2등 당첨 영수증 위조 사례는 총 370여건 이상으로 드러났다. 

경찰은 적발된 업체들은 로또 당첨 예측 번호를 배출한 고유의 분석 프로그램을 가지고 있다고 광고했으나 실제로는 대부분 연속으로 조합되는 숫자와 소수조합, 이전 당첨번호 조합 등을 배제하고 남은 번호를 랜덤으로 조합해 배출하는 기능을 가진 프로그램만을 보유하고 있었다고 설명했다. 즉 당첨번호를 예측할 수 있는 특별한 필터링 기술 등은 없었다는 이야기다. 

이과정에서 일부 업체들은 위조된 로또 당첨 영수증과 당첨 후기를 사이트에 게재해 회원들을 속이고, 20~30명에 달하는 텔레마케터를 고용해 회원들을 추가로 계속해서 모집한 것으로 드러났다. 

심지어 숫자 조합 분석, 필터링 기술 등 입증된 기술력으로 예상 번호를 추출하는 특허를 취득했다고 광고한 업체의 경우, 실제 특허등록 내용은 복권 마킹용 펜, 혹은 로또 마킹 방법 등에 관련한 것으로 확인됐다. 

경찰 관계자는 ""대부분의 로또번호 예측사이트는 랜덤 형식으로 각 조합을 배출하고 중복되지 않게 회원들에게 발송하는 것에 불과했다""며 ""14개 사이트 중 1등 당첨자가 나온 곳은 단 한 곳도 없었다""고 전했다. 

이어 ""온라인 상에서 로또 예측 사이트가 다수 성행하고 있고 유사 사이트가 무분별하게 급증하고 있다""며 ""경찰은 3대 사이버 반칙행위에 대한 지속적인 단속을 통해 공정하고 정의로운 사이버 공간이 구현되도록 수사력을 집중할 것""이라고 밝혔다. ",1
1_00119,"""가격 인상은 없던 일로"" 공정위가 조사나서자 따지는 BBQ","최근 치킨 가격을 인상하겠다고 밝힌 BBQ가 공정거래위원회가 조사에 착수한 지 하루 만에 가격 인상을 철회했다. 치킨 프랜차이즈 BBQ는 긴급회의를 열어 가격 인상을 전격 철회하기로 결정했다고 16일 밝혔다.

공정위가 가맹사업법을 위반한 혐의를 포착했다며 조사에 들어간 지 하루 만이다. 공정위는 김상조 위원장이 취임한 지 하루 만인 지난 15일 BBQ 본사가 부담해야 할 광고비를 가맹점주들에게 떠넘긴 게 아닌지 조사하겠다고 했다.

BBQ는 비용 상승으로 인해 가격을 인상할 수밖에 없다고 주장했지만 지난달 전국 가맹점에 공문을 보내 광고비 분담 명목으로 마리당 500원씩 거둬들이겠다고 통보했다. 공정위가 조사에 착수하자 BBQ는 최근 인상한 30개 메뉴 가격을 모두 원래 가격으로 하향 조정하기로 했다.

앞서 BBQ는 5월 초 10개 메뉴 가격을 1400~2000원씩 올린 데 이어 지난 5일에 20개 메뉴 가격도 추가로 인상했다. 김상조 공정거래위원장은 첫 과제로 '골목상권' 보호를 꼽았다.

김 위원장은 취임사에서 ""우리 사회가 공정위에 요구하는 바는 상당히 다르다""며 ""대규모기업집단의 경제력 오남용을 막고, 하도급 중소기업, 가맹점주, 대리점사업자, 골목상권 등 ‘을의 눈물’을 닦아달라는 것""이라고 말했다.",1
1_00120,성과 보너스를 '돈'으로 지급한 은행,"은행이 모바일 메신저와 멤버십 제도를 도입하면서 직원들 성과급 132억여 원을 자사 포인트로 지급한 사실이 드러났다. 

13일 더불어민주당 김해영 의원(부산 연제구)이 금융감독원에서 받은 '은행별 모바일메신저 및 멤버십제도 운영 현황'에 따르면 KEB하나·신한·우리은행은 직원들에게 성과급131억 8000만 원을 현금이 아닌 자사 포인트로 지급해왔다. 

신한판(FAN)클럽하나멤버스위비멤버스KEB하나은행은 지난해 10월 모바일 메신저 및 멤버십 서비스인 '하나멤버스'를 투입하면서 직원들에게 성과급 84억 원 이상을 포인트로 지급했다.

하나은행 대외홍보실 최국진 과장은 ""고객에게 설명하고 안내하려면 직원이 먼저 익숙해져야 하는 측면이 있었다""고 해명했다. 우리은행은 직원들에게 지급한 성과급 47억 4500만 원 중 2700만 원만 현금으로 지급하고 나머지 47억 1800만 원은 포인트로 지급했다. 김해영 의원실 제공신한은행은 성과급 750만 원을 포인트로 지급했다.

신한은행 측은 ""원래 포인트를 지급해왔다""며 ""임직원 전용 사이트에서 도서나 영화관람표, 생활용품을 사는데 쓸 수 있는 제도""라고 설명했다. 하나은행 최 과장은 ""포인트는 100% 현금으로 전환할 수 있어 사실상 현금과 크게 다르지 않다""고 덧붙였다. 

김 의원은 ""보너스까지 포인트로 지급하며 자사 상품 홍보를 위해 직원을 쥐어짜는 영업행위는 지양해야 한다""고 지적했다.",1
1_00121,"포스코, 7년 연속 '철강사 경쟁력' 세계 1위...""6시그마 덕분""","QSS 현장실습 교육에 참가한 직원들이 제품창고에서 설비를 깨끗이 닦고 있다(왼쪽, 2006년 6월), 임원과 부장단이 My M&S 솔선활동에서 설비를 점검하고 불합리점을 발굴하고 있다. 

포스코가 2016년 7년 연속 '철강사 경쟁력 세계 1위'라는 대업을 달성하는데 6시그마에서 QSS, QSS+로 진화한 혁신 전략 없이는 어려웠다는 평가다. 

포스코는 지난 2006년 혁신활동 QSS(Quick Six Sigma, 퀵 6시그마)를 도입했다.
올해로 10돌을 맞았다.
퀵 6시그마는 최고의 제품 생산을 위해 '시그마(σ)'라는 통계척도를 활용, 회사 전체를 관리하는 포스코 경영 전략이다.
현재는 QSS를 발전시킨 QSS+를 운영하고 있다.

포스코에 따르면, 임직원들은 QSS와 QSS+를 통해 지난 10년간 8000건이 넘는 개선과제를 수행했다. 미세먼지 발생량과 설비장애, 돌발호출 건수를 줄이고 작업률을 95% 수준으로 향상시켰다.

또 현장 특성에 맞는 인재 양성과 긍정적 조직문화 조성에 매진했다. 포스코 고유 혁신활동 QSS+ 10주년을 맞아 포항제철소(위)와 광양제철소 직원들이 QSS+를 내재된 가치로 지속 발전시켜 초일류기업 완성에 기여할 것을 다짐하고 있다.

QSS+ 전신인 QSS는 6시그마를 포스코에 맞게 설계한 혁신 체제다.
6시그마는 GE·소니 등 세계적 기업이 도입해 효과를 본 경영 혁신 전략이다.

포스코는 6시그마가 경제적 성과 창출에는 유용해도, 직원 교육과 일상 개선 적용은 어렵다는 점을 고려해 2005년 고유의 혁신 전략 'QSS'를 만들었다. 포스코는 이후 약 1년간 시범공장을 운영하며 실효성을 확인하고, 2006년 5월 QSS를 정식 도입했다. 포스코는 2014년 8월부터 QSS를 한 단계 더 발전시킨 QSS+를 실시하고 있다.

청결한 작업환경, 설비 기능 복구 등 QSS가 내건 목표에서 한 걸음 더 나아가 부서별 특성에 맞는 핵심 설비 성능 향상에 집중했다. 올해부터는 똑똑한 제조현장 구축을 위해 사물인터넷(IoT) 기술을 접목한 '스마트 M&S'활동도 시작했다. 

포항제철소 1제강공장 신창근 파트장은 “QSS+의 힘은 능동적이고 자기주도적인 활동을 통해 변화를 이끌어내는 데 있다. 앞으로 10년을 넘어 50년, 100년 동안 포스코의 경쟁력을 높이는 원천이 될 것”이라고 말했다. 

포스코 관계자는 ""‘현장에 답이 있다’는 철학 아래 현장 특성을 반영한 고유의 혁신 브랜드로 QSS+활동의 내실을 높여나갈 방침""이라고 밝혔다.",1
1_00122,소득 낮을 수록 자녀 많이 낳는다...빈익빈 부익부,"전반적인 저출산 분위기 속에서도 소득 수준이 높은 가구는 평균 자녀수가 많은 것으로 조사됐다. 또 이상적인 자녀수를 2명 이상이라고 보면서도 기혼 여성의 절반 가까이가 자녀를 더 낳는 것을 망설였다. 경제적 부담이 가장 큰 이유였다.

10일 한국보건사회연구원 2015년 전국 출산력 및 가족보건·복지실태조사 보고서에 따르면 15~49세 기혼여성 1만1009명을 면접조사한 결과 기준 소득의 60% 미만은 평균 자녀 수가 1.63명에 불과했다. 반면 기준 소득의 160% 이상은 1.84명으로 조사됐다. 기준소득은 2015년 2/4분기 가구당 월평균 소득 427만원을 100%으로 놓은 값이다.

구간 별로 살펴보면 기준소득 60~80%는 1.76명, 80~120% 미만은 1.77명, 120~160% 미만은 1.79명으로 소득 수준이 높을수록 자녀 수가 많아지는 경향을 보였다.

경제력에 따라 자녀 수가 달라지는 것은 추가 출산을 하지 않는 이유에서도 엿볼 수 있다. 기혼여성 8659명 대상으로 조사한 결과 45.5%가 경제적 이유로 자녀를 더 낳지 않고 있었다.

자녀교육비 부담(21.8%)이 제일 큰 비중을 차지했고 자녀 양육비 부담(12.4%), 소득·고용불안정(6.9%) 등 순이었다. 나머지는 자녀수에 대한 가치관(21.7%), 고연령(20.8%), 일-가정양립 곤란(4.4%) 등의 순으로 나타났다.

1명의 자녀를 두고 있는 '35세 미만' 기혼여성 중 추가 임신 계획이 없다고 답한 경우 이유를 보면 자녀 양육비 부담(24.3%), 자녀교육비 부담(22.3%) 등 경제적 이유가 컸다. 일-가정양립곤란(14.7%)도 뒤를 이었다.

더욱이 응답자 89.6%는 자녀가 대학 졸업 때와 그 후까지 양육을 책임져야 한다고 생각하고 있었다. 62.4%가 대학 졸업 때까지, 17.2%가 취업할 때까지 자녀를 책임져야 한다고 답했다.

2015년 평균 초혼 연령은 남자 32.6세, 여자 30.0세고 평균 출산나이는 32세였다. 자녀가 대학을 졸업하거나 취업을 준비할 때 부모 나이는 50세가 넘게 된다.

양육에 대한 부담이 없다면 자녀를 더 낳고 싶다고 답한 사람이 많았다. 응답자들이 원하는 이상적인 자녀 수는 평균 2.25명이었다. 현재 자녀 수에 앞으로 추가 계획 자녀수까지 더한 기대자녀수는 평균 1.94명에 불과했다.

기혼 여성들은 양육 환경 개선을 위해 사교육비 경감(17.9%), 안전한 자녀 양육환경 조성(15.9%), 질 높은 보육·육아지원시설 확충(12.4%), 공교육 강화(8.5%), 경기 활성화(7.9%) 등이 필요하다고 답했다.

자녀를 출산하고 양육하는데 가장 도움이 되는 지원은 경제적 지원(45.9%), 일-가정양립 지원(19.3%), 양육 인프라와 프로그램 다양화(14.1%), 결혼 지원(12.9%) 등이라고 답했다.

김중백 경희대학교 사회학과 교수는 ""꼭 소득에 따라 자녀 수가 결정된다고 보기 어렵지만 경제적 문제가 자녀를 낳는데 큰 영향을 미치고 있는 것은 사실""이라고 진단했다. 이어 ""보육비나 교육비 등 경제적 부담과 일-가정 양립의 문제는 따로 떨어져 있지 않다""며 ""자녀를 안전하게 맡길 수 있는 보육 환경을 조성해 직장 생활을 유지하며 자아를 실현하고 수입도 얻을 수 있도록 사회 시스템을 만드는 것이 중요하다""고 조언했다.",1
1_00123,"조회수 2천만 넘은 ""아이폰7 이어폰 만드는 법"" 영상 공개","IT 블로거가 운영하는 유튜브 채널 '테크렉스(Techrax)'에 공개된 영상이다. 

1천만(한국 시각 27일 오후 4시 기준)이 넘는 높은 조회 수를 기록한 '아이폰7 이어폰 잭 만드는 비법'이다. 

영상 속 한 남성은 ""아이폰 7에서 이어폰 잭이 없어져 많은 사람이 크게 실망했다""며 ""이어폰 잭을 스스로 만들 수 있는 방법을 소개한다""고 말한다. 남성은 아이폰7을 고정시키고 하단에 드릴로 구멍을 뚫는다.

이어 구멍에 이어폰을 연결하며 ""이렇게 간단하다""고 말한다. 해당 영상은 물론 장난으로 만들어진 영상이다.

실제로 이어폰을 연결해도 노래가 밖에서 들리는 모습까지 볼 수 있다.

하지만 일부 유튜브 이용자는 ""실제로 구멍을 뚫어봤는데 작동이 되지 않는다""며 댓글을 통해 불평을 늘어았다. 

26일 경제지 포츈(Fortune)은 ""누가 봐도 거짓 영상이지만, 실제로 시도했다는 사용자가 등장했다는 점과 높은 조회 수를 봤을 때, 그만큼 사람들이 아이폰 잭을 그리워한다는 이야기""라고 전했다. 

이어폰 잭 논란에도 불구, 아이폰은 이에 대한 공식적인 답변을 내놓고 있지 않다.",1
1_00124,"'아이폰 7' 시판 첫 날, 뉴스에 등장한 '팀 쿡' 영상 공개","'아이폰 7'이 공식으로 판매에 나선 첫 날 16일(현지시각) 애플 CEO 팀 쿡이 매장에 사전 예고 없이 등장한 영상이 공개되었다. 

팀 쿡은 캘리포니아 팔로 알토에 있는 애플 매장에서 다른 직원들과 함께 카운트 다운을 한 뒤 고객들을 맞았다. 

다른 직원들과 똑같이 청바지에 유니폼 티셔츠를 입은 그는 열광하는 고객들을 안쪽으로 안내했다. 그는 고객들과 악수를 나누고 다정한 포즈로 셀카를 찍기도 하며 '아이폰7' 출시를 축하했다.

오랜 기다림 끝에 매장 안에 들어선 고객들은 만세를 부르고 환호성을 지르기도 하면서 기쁨을 드러냈다. 미국 외에도 호주, 일본, 독일 등 1차 시판국들에서는 매장 앞에 긴 줄이 늘어서는 진풍경도 연출됐다.

'아이폰7'은 시판 첫날부터 완판 행진을 이어가며 높은 인기를 증명했다. SNS로 전해진 '아이폰7' 시판 현장 모습이다.",1
